shopify_order_id,order_name,created_at,price,quantity,city,state,country,currency_code,financial_status,fulfillment_status,brand,channel,platform
gid://shopify/Order/7246739767593,#261779,2026-03-26T15:48:20Z,3141.0,2,"Gautam Buddha Nagar","Uttar Pradesh",India,INR,PAID,UNFULFILLED,BTC,D2C,App
gid://shopify/Order/7246736163113,#261775,2026-03-26T15:45:27Z,4106.0,4,Faridabad,Haryana,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246723088681,#261770,2026-03-26T15:35:41Z,2523.0,2,K.V.Rangareddy,Telangana,India,INR,PAID,FULFILLED,Core,D2C,App
gid://shopify/Order/7246720139561,#261769,2026-03-26T15:33:24Z,899.0,1,"Gautam Buddha Nagar","Uttar Pradesh",India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246719975721,#261768,2026-03-26T15:33:19Z,2696.0,3,Bengaluru,Karnataka,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246718730537,#261766,2026-03-26T15:32:18Z,1642.2,2,Bengaluru,Karnataka,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246712602921,#261765,2026-03-26T15:27:55Z,4418.0,3,"New Delhi",Delhi,India,INR,PAID,FULFILLED,Core,D2C,App
gid://shopify/Order/7246709981481,#261763,2026-03-26T15:25:49Z,7579.0,7,Bangalore,Karnataka,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246705492265,#261758,2026-03-26T15:22:37Z,1763.0,1,Pimpri-Chinchwad,Maharashtra,India,INR,PAID,UNFULFILLED,BTC,D2C,App
gid://shopify/Order/7246701855017,#261756,2026-03-26T15:20:04Z,1709.0,1,Mumbai,Maharashtra,India,INR,PAID,FULFILLED,BTC,D2C,App
gid://shopify/Order/7246694973737,#261752,2026-03-26T15:14:20Z,1937.0,2,Bangalore,Karnataka,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246686617897,#261749,2026-03-26T15:08:02Z,1135.0,1,Bangalore,Karnataka,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246677770537,#261747,2026-03-26T15:02:03Z,1709.0,2,Kolkata,"West Bengal",India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246676754729,#261746,2026-03-26T15:01:27Z,1081.0,1,Balangir,Odisha,India,INR,PAID,FULFILLED,Core,D2C,App
gid://shopify/Order/7246676525353,#261745,2026-03-26T15:01:15Z,2009.0,2,Mumbai,Maharashtra,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246673445161,#261744,2026-03-26T14:59:01Z,498.0,1,Thanjavur,"Tamil Nadu",India,INR,PAID,FULFILLED,Core,D2C,Web
gid://shopify/Order/7246673281321,#261742,2026-03-26T14:58:56Z,6779.0,4,Bangalore,Karnataka,India,INR,PAID,FULFILLED,BTC,D2C,App
gid://shopify/Order/7246669775145,#261741,2026-03-26T14:56:04Z,2884.0,2,Rourkela,Odisha,India,INR,PAID,FULFILLED,BTC,D2C,App
gid://shopify/Order/7246668169513,#261740,2026-03-26T14:54:50Z,2522.0,2,Hosur,"Tamil Nadu",India,INR,PAID,PARTIALLY_FULFILLED,Core,D2C,App
gid://shopify/Order/7246660632873,#261739,2026-03-26T14:48:53Z,4565.0,4,Bangalore,Karnataka,India,INR,PAID,PARTIALLY_FULFILLED,Core,D2C,App
gid://shopify/Order/7246657749289,#261736,2026-03-26T14:46:36Z,5201.0,4,Mumbai,Maharashtra,India,INR,PAID,PARTIALLY_FULFILLED,BTC,D2C,App
gid://shopify/Order/7246651719977,#261732,2026-03-26T14:42:04Z,1096.0,3,Pune,Maharashtra,India,INR,PAID,PARTIALLY_FULFILLED,Amodira,D2C,App
gid://shopify/Order/7246651490601,#261731,2026-03-26T14:41:51Z,3191.75,3,Bengaluru,Karnataka,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246649360681,#261728,2026-03-26T14:40:01Z,896.0,3,Faridabad,Haryana,India,INR,PAID,PARTIALLY_FULFILLED,Amodira,D2C,App
gid://shopify/Order/7246647460137,#261727,2026-03-26T14:38:48Z,5528.0,3,Mumbai,Maharashtra,India,INR,PAID,PARTIALLY_FULFILLED,BTC,D2C,App
gid://shopify/Order/7246639169833,#261724,2026-03-26T14:32:09Z,5295.75,6,Bangalore,Karnataka,India,INR,PAID,PARTIALLY_FULFILLED,Core,D2C,App
gid://shopify/Order/7246632354089,#261718,2026-03-26T14:26:28Z,2151.0,2,Ahmedabad,Gujarat,India,INR,PAID,PARTIALLY_FULFILLED,Core,D2C,App
gid://shopify/Order/7246627930409,#261715,2026-03-26T14:22:36Z,1247.8,1,Bangalore,Karnataka,India,INR,PAID,FULFILLED,Core,D2C,App
